Kategori;Plagg;Tjeneste;Pris
Overdeler;Skjorte;Rens (bomull);150 kr
Overdeler;Skjorte;Rens (silke);225 kr
Overdeler;Skjorte;Legge opp ermer;350 kr
Overdeler;Jakke;Rens;425 kr
Overdeler;Jakke;GlidelÃ¥s Ã©n-veis;650 kr
Overdeler;Jakke;GlidelÃ¥s to-veis;750 kr
Overdeler;Dunjakke;Rens;625 kr
Overdeler;Dunjakke;GlidelÃ¥s Ã©n-veis;650 kr
Overdeler;Dunjakke;GlidelÃ¥s to-veis;750 kr
Overdeler;Genser / Bluse;Rens;250 kr
Overdeler;Genser / Bluse;Legge opp/ned ermer;400 kr
Overdeler;Genser / Bluse;Legge opp/ned lengde;400 kr
Overdeler;KÃ¥pe / Frakk;Rens;600 kr
Overdeler;KÃ¥pe / Frakk;Sy inn/ut ermer;500 kr
Overdeler;KÃ¥pe / Frakk;Sy inn/ut skuldre;600 kr
Overdeler;Skjerf;Rens;150 kr
Underdeler;Bukse / Jeans;Rens;250 kr
Underdeler;Bukse / Jeans;Legge opp bukse;290 kr
Underdeler;Bukse / Jeans;Original fald;350 kr
Underdeler;SkjÃ¸rt;Rens (kort);265 kr
Underdeler;SkjÃ¸rt;Rens (lang);400 kr
Underdeler;SkjÃ¸rt;Legge opp;550 kr
Underdeler;Shorts;Rens/vask;175 kr
Underdeler;Shorts;Legge opp;200 kr
Underdeler;Shorts;Legge ned;250 kr
Kjole & Dress;Kjole;Rens (kort);440 kr
Kjole & Dress;Kjole;Rens (lang);675 kr
Kjole & Dress;Kjole;Selskapskjole;1 075 kr
Kjole & Dress;Brudekjole;Rens;2 750 kr
Kjole & Dress;Brudekjole;Kjolelengde;2 000 kr
Kjole & Dress;Brudekjole;Ermer;500 kr
Kjole & Dress;Dress;Rens (komplett);590 kr
Kjole & Dress;Dress;Rens (smoking);620 kr
Kjole & Dress;Dressjakke;Rens;295 kr
Kjole & Dress;Dressjakke;Legge opp/ned ermer;750 kr
Kjole & Dress;Dressjakke;Legge opp i lengden;500 kr
Kjole & Dress;Dressbukse;Rens;295 kr
Kjole & Dress;Dressbukse;Legge opp/ned;290 kr
Kjole & Dress;Dressbukse;Livvidde;350 kr
Bunad;Bunad;Damebunad;1 400 kr
Bunad;Bunad;Herrebunad;1 400 kr
Bunad;Bunad;Barn;800 kr
Bunad;Bunaddeler;Bunadsskjorte;450 kr
Bunad;Bunaddeler;Bunadstakk;750 kr
Bunad;Bunaddeler;Bunadsvest;320 kr
Bunad;Andre bunaddeler;Forkle;330 kr
Bunad;Andre bunaddeler;Jal;260 kr
Bunad;Andre bunaddeler;Veske;250 kr
InteriÃ¸r & Soverom;Dyne & Pute;Enkeldyne;650 kr
InteriÃ¸r & Soverom;Dyne & Pute;Dobbeldyne;840 kr
InteriÃ¸r & Soverom;Dyne & Pute;Dunpute;250 kr
InteriÃ¸r & Soverom;Dyne & Pute;Silkepute;400 kr
InteriÃ¸r & Soverom;Tepper & Pledd;Sengeteppe (enkel);400 kr
InteriÃ¸r & Soverom;Tepper & Pledd;Sengeteppe (dobbel);600 kr
InteriÃ¸r & Soverom;Tepper & Pledd;Pledd;500 kr
InteriÃ¸r & Soverom;Tepper & Pledd;Gulvteppe/mÂ²;250 kr
InteriÃ¸r & Soverom;Kilovask;Vask per kg;170 kr
